chr	start	end	reps_BP	rps_P
19	46538574	47740913	47065746	9.95e-55
19	48602448	51831497	51278201	6.75e-21
19	53056308	54076813	53575218	1.17e-12
20	391187	1392634	891187	1.93e-8
20	5962314	7156587	6643186	4.16e-23
20	8566096	10415966	9115433	1.16e-12
20	11877772	12958927	12455108	6.09e-14
20	14387863	17727859	15829111	2.08e-22
20	17808571	18819065	18315086	2.51e-8
20	20900483	21986157	21440673	3.55e-11
20	24237231	26827782	25214873	4.21e-16
20	29804912	32954545	32450354	4.16e-15
20	33397844	37148182	33939880	4.74e-17
20	40014658	42091403	40550283	4.89e-11
20	42825743	43886003	43378989	6.36e-13
20	45522179	48246702	46268207	5.63e-16
20	48430575	50483423	49983405	1.31e-10
20	50664804	51685250	51164804	9.75e-9
20	51685579	53678769	52535033	1.03e-34
20	54327799	56420748	55582488	9.08e-19
20	58087124	59937703	59032308	2.95e-38
20	62391556	64633890	62904216	5.97e-12
21	23322002	24328124	23826768	1.06e-11
21	28448149	29705533	29036349	8.70e-9
21	30761161	31793072	31289692	5.77e-9
21	36843592	39821448	38937512	3.41e-32
21	40747730	41784348	41281640	4.37e-14
21	44509580	45766584	45069044	2.65e-25
21	45898880	47136464	46514936	7.32e-12
22	17140912	18248232	17677867	5.04e-12
22	19460814	20502089	19962121	3.56e-12
22	21252246	22381399	21761597	8.49e-11
22	26025759	27044026	26525759	1.34e-8
22	28774478	29918163	29274478	3.00e-11
22	31136292	32413255	31913255	1.10e-8
22	33065932	34069020	33566468	5.33e-9
22	35648681	37063172	36563172	7.40e-12
22	37210736	42909921	40280982	5.38e-26
22	43006115	44434151	43934151	6.73e-9
22	44500094	45517523	45017523	1.50e-9
22	47490921	49577293	48558221	9.44e-12
22	49760902	50833200	50260975	7.52e-11
